CustomerID,Recency,Frequency,Monetary,AvgOrderValue,ItemDiversity,PurchaseHour,RepeatPurchase,Age,Income
10000,9,7,216.27,30.9,0.1,17,1,67,51956
10001,6,6,373.9,62.32,0.22,15,1,20,27049
10002,46,4,227.62,56.9,0.3,14,0,22,74244
10003,50,4,275.88,68.97,0.43,11,0,18,85916
10004,30,7,201.1,28.73,0.46,9,1,42,28179
10005,28,5,547.21,109.44,0.68,15,1,57,100407
10006,66,4,155.85,38.96,0.31,19,0,39,27603
10007,43,4,104.24,26.06,0.3,20,0,45,46989
10008,6,8,369.19,46.15,0.46,9,1,40,132466
10009,5,7,201.75,28.82,0.09,18,1,53,116850
10010,18,7,772.89,110.41,0.12,9,1,42,132813
10011,15,8,401.24,50.16,0.06,20,1,57,100793
10012,26,5,268.16,53.63,0.73,18,1,22,58992
10013,5,9,145.19,16.13,0.36,8,1,65,25869
10014,35,10,794.66,79.47,0.27,13,1,54,137446
10015,19,6,387.03,64.5,0.17,13,0,49,61376
10016,26,2,166.64,83.32,0.6,15,0,61,115735
10017,32,2,206.08,103.04,0.29,14,0,36,52727
10018,39,4,79.48,19.87,0.55,11,0,67,114591
10019,35,11,836.0,76.0,0.1,20,1,26,49435
10020,6,3,147.24,49.08,0.12,14,1,35,50681
10021,4,7,468.15,66.88,0.17,15,0,54,107462
10022,9,6,320.75,53.46,0.41,19,1,68,146453
10023,1,5,143.95,28.79,0.56,10,0,18,36203
10024,14,2,102.02,51.01,0.08,11,0,60,53735
10025,5,7,335.32,47.9,0.33,14,1,29,115206
10026,24,10,718.52,71.85,0.19,9,1,27,72380
10027,59,2,125.39,62.7,0.15,9,0,24,97186
10028,7,7,342.4,48.91,0.36,18,1,35,54093
10029,5,12,1290.53,107.54,0.54,18,1,45,39604
10030,8,5,220.5,44.1,0.09,13,1,59,145924
10031,109,5,305.91,61.18,0.05,19,0,61,98778
10032,59,5,354.6,70.92,0.16,13,0,51,118153
10033,23,7,508.12,72.59,0.25,16,1,41,102322
10034,18,6,685.14,114.19,0.08,19,1,66,112979
10035,7,6,686.9,114.48,0.19,14,1,65,74303
10036,11,5,458.53,91.71,0.66,21,1,48,30414
10037,30,13,985.19,75.78,0.41,20,1,60,132467
10038,14,5,106.14,21.23,0.22,16,0,61,106297
10039,40,4,110.94,27.74,0.48,21,0,19,41974
10040,25,7,682.99,97.57,0.2,15,1,63,107429
10041,86,6,140.51,23.42,0.52,15,0,67,127776
