CustomerID,Recency,Frequency,Monetary,AvgOrderValue,ItemDiversity,PurchaseHour,RepeatPurchase,add_to_cart_order,days_since_prior_order
10000,12,4,149.87,37.47,0.22,19,1,5,11
10001,8,7,505.18,72.17,0.4,19,1,3,25
10002,48,8,906.99,113.37,0.12,21,1,5,11
10003,30,5,348.49,69.7,0.28,15,0,2,5
10004,112,3,93.47,31.16,0.36,11,0,14,13
10005,43,7,382.51,54.64,0.54,15,1,10,19
10006,1,6,251.92,41.99,0.15,17,1,11,7
10007,1,3,271.26,90.42,0.38,10,1,3,16
10008,4,6,414.37,69.06,0.29,9,1,14,18
10009,24,5,538.33,107.67,0.38,11,1,3,6
10010,2,5,303.17,60.63,0.24,13,1,10,11
10011,25,6,656.33,109.39,0.17,12,1,12,7
10012,40,7,204.79,29.26,0.3,19,0,12,29
10013,11,4,344.62,86.16,0.27,10,1,9,24
10014,40,1,15.07,15.07,0.05,20,0,4,11
10015,31,2,69.24,34.62,0.38,16,1,12,21
10016,8,7,645.7,92.24,0.15,18,1,5,21
10017,5,6,115.18,19.2,0.38,8,1,7,2
10018,12,3,353.02,117.67,0.47,20,0,2,26
10019,17,6,610.72,101.79,0.26,19,1,14,0
10020,5,6,251.47,41.91,0.3,11,1,1,20
10021,27,6,198.99,33.16,0.05,8,0,6,3
10022,14,6,666.92,111.15,0.68,16,1,9,22
10023,28,5,489.15,97.83,0.63,15,1,8,13
10024,47,4,120.45,30.11,0.2,9,0,13,13
10025,57,7,589.47,84.21,0.67,16,0,7,24
10026,21,7,304.43,43.49,0.44,14,1,12,18
10027,73,4,451.57,112.89,0.29,15,0,3,28
10028,21,7,620.37,88.62,0.71,9,1,8,14
10029,58,6,245.89,40.98,0.33,9,0,12,9
10030,52,12,1294.36,107.86,0.39,20,1,12,15
10031,8,6,677.37,112.9,0.21,17,1,8,17
10032,7,5,427.11,85.42,0.23,18,1,13,24
10033,5,6,202.53,33.76,0.05,19,1,11,22
10034,49,3,323.45,107.82,0.39,21,0,9,24
10035,44,9,854.07,94.9,0.34,16,1,9,26
10036,8,5,434.12,86.82,0.6,13,1,11,14
