order_id,Recency,Frequency,Monetary,AvgOrderValue,ItemDiversity,PurchaseHour,reorder_status,review_score,freight_value
10000,36,5,254.11,50.82,0.16,21,1,1,28.3
10001,11,3,69.82,23.27,0.14,10,0,3,10.5
10002,8,5,383.45,76.69,0.35,8,1,1,14.08
10003,25,6,478.62,79.77,0.23,21,1,5,16.84
10004,39,9,905.29,100.59,0.47,19,1,2,26.65
10005,17,5,597.69,119.54,0.24,20,1,5,33.06
10006,119,5,90.49,18.1,0.71,20,0,4,33.41
10007,35,6,465.46,77.58,0.48,17,1,4,17.05
10008,20,6,611.87,101.98,0.58,20,0,5,30.37
10009,15,2,173.17,86.58,0.33,15,1,2,19.91
10010,13,5,155.54,31.11,0.48,10,1,3,22.35
10011,40,3,238.71,79.57,0.29,14,0,3,20.64
10012,18,6,207.44,34.57,0.16,14,0,2,34.46
10013,2,5,557.57,111.51,0.26,19,1,4,29.34
10014,16,2,234.02,117.01,0.15,9,0,5,14.47
10015,41,8,670.48,83.81,0.64,21,1,5,6.55
10016,7,4,291.16,72.79,0.37,11,1,1,32.09
10017,6,5,145.91,29.18,0.2,10,1,5,43.88
10018,23,5,485.28,97.06,0.53,18,1,5,13.16
10019,23,3,300.78,100.26,0.21,14,0,5,34.31
10020,31,5,261.72,52.34,0.21,15,1,5,41.26
10021,57,4,330.54,82.64,0.11,14,1,4,10.32
10022,39,6,228.38,38.06,0.42,15,1,2,30.19
10023,29,6,672.38,112.06,0.19,15,1,5,22.71
10024,39,4,96.47,24.12,0.35,18,0,5,34.09
10025,12,7,625.92,89.42,0.27,18,1,2,18.37
10026,14,6,558.94,93.16,0.29,13,1,5,10.84
10027,8,11,981.09,89.19,0.16,21,1,5,22.63
10028,11,5,475.83,95.17,0.24,10,1,5,21.16
10029,30,3,347.57,115.86,0.09,12,0,5,9.93
10030,3,9,531.74,59.08,0.45,17,1,1,34.45
10031,18,3,108.28,36.09,0.34,14,1,5,27.3
10032,17,1,28.62,28.62,0.26,9,0,5,25.63
10033,21,3,69.78,23.26,0.2,14,0,5,5.7
10034,17,2,126.83,63.42,0.22,11,0,5,44.98
10035,12,3,79.14,26.38,0.49,12,1,5,41.81
10036,17,5,508.59,101.72,0.47,11,1,5,27.08
10037,68,3,198.26,66.09,0.36,10,0,5,7.04
10038,87,3,304.09,101.36,0.56,19,0,5,11.42
10039,21,6,500.34,83.39,0.46,21,1,5,22.69
10040,30,7,781.91,111.7,0.56,15,1,5,32.51
10041,4,9,930.33,103.37,0.2,10,1,4,29.46
10042,12,4,176.54,44.14,0.28,8,0,4,17.27
10043,17,7,621.26,88.75,0.07,13,1,5,5.88
10044,61,7,764.96,109.28,0.12,17,1,5,36.63
10045,9,10,697.57,69.76,0.14,14,1,4,27.46
10046,20,7,650.43,92.92,0.34,15,1,5,26.7
10047,128,2,40.1,20.05,0.21,15,0,5,15.53
10048,22,6,485.46,80.91,0.51,10,1,4,12.22
10049,29,3,276.78,92.26,0.49,12,1,4,29.18
10050,4,5,367.62,73.52,0.33,20,1,5,19.53
10051,53,8,354.45,44.31,0.14,10,1,5,27.19
10052,28,6,681.68,113.61,0.33,12,1,5,36.65
10053,24,10,632.89,63.29,0.64,18,1,2,44.45
10054,13,5,366.66,73.33,0.38,17,1,4,19.49
10055,11,5,107.75,21.55,0.26,9,1,3,40.04
10056,17,7,704.04,100.58,0.22,20,1,4,24.36
10057,35,8,474.66,59.33,0.35,18,1,5,25.22
10058,63,5,249.47,49.89,0.16,14,0,5,28.38
10059,22,8,888.8,111.1,0.29,17,1,5,35.58
10060,34,3,125.5,41.83,0.39,21,0,5,39.46
10061,27,3,89.56,29.85,0.16,13,0,4,38.8
