CustomerID,Recency,Frequency,Monetary,AvgOrderValue,ItemDiversity,PurchaseHour,RepeatPurchase,UnitSales,OnPromotion
10000,32,8,171.06,21.38,0.08,10,0,116.08,1
10001,174,11,380.09,34.55,0.05,16,0,180.3,0
10002,22,5,370.09,74.02,0.58,9,0,108.51,0
10003,33,11,1155.98,105.09,0.09,9,1,250.05,1
10004,28,2,57.2,28.6,0.48,11,1,31.87,1
10005,42,5,159.3,31.86,0.22,18,1,72.29,0
10006,5,7,623.18,89.03,0.57,12,1,143.45,0
10007,1,8,732.04,91.5,0.29,20,1,175.85,0
10008,5,4,227.11,56.78,0.72,16,1,72.2,0
10009,36,7,367.5,52.5,0.46,10,1,123.56,0
10010,27,5,544.21,108.84,0.07,21,0,117.54,0
10011,70,4,384.04,96.01,0.49,18,0,87.92,0
10012,18,3,202.78,67.59,0.12,20,1,64.66,0
10013,12,8,334.06,41.76,0.05,12,1,133.89,0
10014,77,9,1034.62,114.96,0.05,11,1,218.56,0
10015,19,7,454.69,64.96,0.22,16,1,139.27,0
10016,49,7,416.78,59.54,0.17,18,0,127.49,1
10017,7,8,171.15,21.39,0.1,9,1,106.9,1
10018,51,5,192.65,38.53,0.45,19,0,87.97,0
10019,5,6,253.64,42.27,0.27,20,1,104.85,1
10020,35,4,348.05,87.01,0.46,21,0,85.01,1
10021,2,6,486.01,81.0,0.37,9,1,125.48,0
10022,46,8,366.29,45.79,0.05,18,0,133.21,0
10023,41,2,41.84,20.92,0.53,20,0,25.09,0
10024,45,8,681.03,85.13,0.12,15,0,171.04,1
10025,7,4,276.45,69.11,0.49,16,1,73.83,0
10026,2,3,66.71,22.24,0.12,10,1,45.51,0
10027,67,10,1046.6,104.66,0.73,9,0,225.21,1
10028,6,9,881.28,97.92,0.15,15,1,193.82,1
10029,45,6,431.96,71.99,0.16,14,0,117.59,0
10030,10,5,322.05,64.41,0.24,14,1,87.92,0
10031,33,6,162.27,27.04,0.18,18,1,89.81,0
10032,136,3,69.73,23.24,0.38,21,0,41.93,0
10033,10,8,514.68,64.33,0.31,11,1,156.14,0
10034,17,3,151.39,50.46,0.21,11,1,57.55,1
10035,45,10,902.24,90.22,0.15,10,1,216.79,0
10036,9,4,148.25,37.06,0.27,20,0,60.52,0
10037,2,6,668.86,111.48,0.4,18,1,143.94,0
10038,61,6,685.59,114.26,0.33,16,0,146.64,0
10039,9,8,731.19,91.4,0.31,20,1,166.51,0
10040,16,4,447.39,111.85,0.27,20,0,96.76,0
10041,12,5,471.55,94.31,0.25,21,1,107.98,1
10042,107,8,952.74,119.09,0.3,10,0,193.81,0
10043,26,9,601.59,66.84,0.36,12,1,181.04,1
10044,10,7,526.76,75.25,0.54,14,1,134.41,0
10045,62,4,108.3,27.08,0.34,12,0,54.37,1
10046,3,8,354.13,44.27,0.18,9,1,134.68,1
10047,44,6,631.8,105.3,0.34,16,0,134.39,0
10048,31,5,332.73,66.55,0.26,16,0,102.25,0
10049,7,5,411.35,82.27,0.57,14,1,112.21,0
10050,41,4,267.82,66.96,0.06,16,0,76.25,0
10051,94,9,446.13,49.57,0.46,10,0,150.06,0
10052,42,8,834.27,104.28,0.31,10,1,176.77,0
10053,34,2,210.14,105.07,0.19,17,0,50.03,0
10054,28,5,437.99,87.6,0.35,18,1,102.82,0
10055,7,9,764.09,84.9,0.16,9,1,184.18,0
10056,17,5,258.19,51.64,0.54,17,1,90.05,1
10057,51,6,391.37,65.23,0.38,10,0,117.96,0
10058,43,8,361.3,45.16,0.31,9,1,133.81,1
10059,38,5,224.46,44.89,0.21,14,0,82.09,1
10060,4,3,229.3,76.43,0.51,20,1,56.56,1
10061,55,6,552.56,92.09,0.32,15,1,130.74,0
10062,21,8,592.99,74.12,0.67,9,0,161.21,0
10063,24,7,832.03,118.86,0.58,15,1,172.78,1
10064,21,5,588.77,117.75,0.57,21,1,119.34,0
10065,19,3,336.56,112.19,0.27,15,0,69.91,0
10066,3,8,314.11,39.26,0.14,21,1,135.71,0
10067,62,6,549.09,91.52,0.44,11,0,127.95,0
10068,6,6,499.3,83.22,0.11,11,1,127.48,0
10069,13,5,543.82,108.76,0.15,11,1,110.79,0
10070,7,3,83.02,27.67,0.05,16,1,46.59,1
10071,23,7,584.31,83.47,0.17,16,1,140.57,1
10072,71,2,108.86,54.43,0.24,17,0,36.67,0
10073,10,7,394.94,56.42,0.12,14,1,119.61,1
