CustomerID,Recency,Frequency,Monetary,AvgOrderValue,ItemDiversity,PurchaseHour,RepeatPurchase
10000,15,9,842.5,93.61,0.26,16,1
10001,91,5,509.66,101.93,0.23,19,1
10002,40,6,575.88,95.98,0.52,11,1
10003,28,11,209.83,19.08,0.3,13,0
10004,6,4,141.53,35.38,0.22,10,1
10005,6,5,356.72,71.34,0.39,10,1
10006,2,8,905.25,113.16,0.3,12,1
10007,61,6,616.02,102.67,0.05,15,0
10008,28,11,1138.13,103.47,0.25,21,1
10009,37,5,234.18,46.84,0.08,15,1
10010,1,3,180.28,60.09,0.65,10,1
10011,106,4,257.7,64.42,0.45,15,0
10012,54,6,189.14,31.52,0.33,20,1
10013,8,9,164.36,18.26,0.46,18,1
10014,7,5,572.12,114.42,0.22,20,1
10015,7,4,161.1,40.28,0.42,15,1
10016,11,9,361.75,40.19,0.14,10,1
10017,23,7,166.28,23.75,0.26,17,0
10018,17,9,1012.44,112.49,0.13,20,1
10019,11,4,303.49,75.87,0.75,17,1
10020,29,4,340.16,85.04,0.05,9,0
10021,5,6,664.29,110.71,0.08,17,1
10022,11,12,615.48,51.29,0.15,9,1
10023,14,8,642.07,80.26,0.52,16,1
10024,19,5,95.37,19.07,0.24,14,0
10025,47,4,138.44,34.61,0.16,13,0
10026,7,9,920.53,102.28,0.39,14,1
10027,22,9,859.6,95.51,0.73,15,1
10028,27,4,207.27,51.82,0.2,19,0
10029,2,4,218.26,54.56,0.42,8,1
10030,29,7,497.16,71.02,0.45,15,1
10031,6,3,45.08,15.03,0.16,10,1
10032,3,8,322.65,40.33,0.08,10,1
10033,90,6,221.19,36.86,0.17,13,0
10034,102,6,247.8,41.3,0.35,11,0
10035,50,7,697.34,99.62,0.27,11,1
10036,11,2,88.73,44.36,0.22,11,0
10037,4,11,386.21,35.11,0.14,17,1
10038,35,3,203.84,67.95,0.15,16,0
10039,18,6,635.36,105.89,0.34,15,1
10040,4,5,201.71,40.34,0.23,10,1
10041,21,6,139.48,23.25,0.25,8,1
10042,2,5,262.11,52.42,0.05,8,1
10043,73,6,561.02,93.5,0.18,8,0
10044,9,7,509.76,72.82,0.52,11,1
10045,33,2,201.53,100.76,0.49,21,0
10046,12,4,463.03,115.76,0.47,13,1
10047,23,3,294.69,98.23,0.44,11,0
10048,24,6,470.4,78.4,0.28,18,1
10049,7,5,334.0,66.8,0.46,18,1
10050,105,8,153.66,19.21,0.17,10,0
10051,45,8,946.83,118.35,0.49,15,1
10052,85,3,165.8,55.27,0.19,21,0
10053,68,7,216.89,30.98,0.43,15,0
10054,28,8,680.04,85.0,0.38,13,1
10055,77,3,134.55,44.85,0.25,16,0
10056,3,8,612.05,76.51,0.05,19,1
10057,7,6,459.66,76.61,0.57,17,0
10058,2,8,494.41,61.8,0.36,8,1
10059,12,7,719.55,102.79,0.27,20,1
10060,15,6,256.93,42.82,0.32,15,0
10061,10,7,434.74,62.11,0.07,13,1
10062,53,6,428.75,71.46,0.15,8,0
10063,14,5,423.4,84.68,0.49,11,1
10064,10,8,778.54,97.32,0.57,12,1
10065,24,2,112.91,56.46,0.12,14,0
10066,5,9,745.51,82.83,0.32,15,1
10067,49,5,154.07,30.81,0.29,16,0
10068,3,6,677.57,112.93,0.43,19,1
10069,131,4,220.88,55.22,0.21,19,0
10070,45,8,732.8,91.6,0.41,13,1
10071,7,3,51.41,17.14,0.45,17,1
10072,1,6,219.27,36.54,0.27,16,1
10073,51,11,727.58,66.14,0.42,11,1
10074,37,8,857.73,107.22,0.15,15,1
10075,40,8,562.89,70.36,0.47,10,0
10076,45,11,1239.0,112.64,0.09,11,1
10077,3,2,131.6,65.8,0.47,17,0
10078,14,6,398.98,66.5,0.47,11,1
10079,4,4,110.29,27.57,0.35,13,1
10080,60,9,893.51,99.28,0.26,16,1
10081,30,8,327.45,40.93,0.18,13,0
10082,13,4,437.84,109.46,0.41,8,0
10083,2,2,221.27,110.64,0.06,12,0
10084,12,6,684.29,114.05,0.18,16,1
10085,12,4,278.5,69.62,0.37,12,1
10086,40,7,602.66,86.09,0.19,13,0
10087,31,4,386.98,96.74,0.21,10,0
10088,66,5,143.78,28.76,0.29,15,0
10089,20,6,468.6,78.1,0.28,17,1
10090,4,9,167.41,18.6,0.09,18,1
10091,38,8,537.96,67.24,0.23,20,1
10092,43,6,187.55,31.26,0.33,11,0
10093,25,5,171.03,34.21,0.43,11,0
10094,45,7,373.31,53.33,0.54,18,0
10095,21,9,543.65,60.41,0.36,19,1
10096,23,5,402.17,80.43,0.05,12,0
10097,17,4,91.26,22.82,0.68,21,0
10098,1,3,203.66,67.89,0.38,17,1
10099,4,4,136.7,34.17,0.21,16,1
10100,1,10,752.67,75.27,0.24,20,1
10101,31,6,491.56,81.93,0.35,15,1
10102,12,5,367.27,73.45,0.14,14,1
10103,22,8,740.17,92.52,0.12,12,1
10104,72,9,452.15,50.24,0.26,16,0
10105,9,5,476.68,95.34,0.69,16,1
10106,16,5,302.2,60.44,0.4,17,1
10107,43,9,592.55,65.84,0.13,17,1
10108,8,6,498.3,83.05,0.05,9,1
10109,3,6,101.57,16.93,0.12,11,0
10110,11,7,585.69,83.67,0.33,15,1
10111,6,8,639.61,79.95,0.21,20,1
10112,80,3,142.6,47.53,0.46,21,0
10113,50,2,48.02,24.01,0.14,8,0
10114,31,8,196.39,24.55,0.25,20,0
10115,62,6,671.63,111.94,0.51,12,0
10116,49,5,436.87,87.37,0.14,15,0
10117,7,5,141.73,28.35,0.18,9,0
10118,67,4,209.82,52.46,0.25,9,0
10119,24,9,694.9,77.21,0.32,20,1
10120,50,8,821.88,102.74,0.26,15,1
10121,68,2,39.17,19.58,0.06,17,0
10122,12,3,119.54,39.85,0.13,19,1
10123,4,5,542.12,108.42,0.22,16,1
10124,8,7,111.74,15.96,0.21,14,1
10125,17,5,180.73,36.15,0.49,15,1
10126,52,7,809.88,115.7,0.58,12,1
10127,60,9,714.66,79.41,0.51,8,0
10128,1,8,339.8,42.48,0.12,11,0
10129,22,6,132.2,22.03,0.53,9,1
10130,17,3,53.88,17.96,0.3,10,0
10131,8,2,81.4,40.7,0.2,19,0
10132,4,8,860.45,107.56,0.26,10,1
10133,13,5,293.35,58.67,0.35,16,1
10134,86,2,181.27,90.64,0.54,20,0
10135,12,7,779.94,111.42,0.41,17,1
10136,22,6,347.07,57.84,0.05,11,1
10137,37,9,315.76,35.08,0.58,9,0
10138,14,6,415.78,69.3,0.05,10,1
10139,108,5,551.74,110.35,0.36,10,0
10140,99,11,1094.05,99.46,0.44,21,1
10141,9,8,175.3,21.91,0.42,14,1
10142,21,5,438.6,87.72,0.09,15,1
10143,11,9,675.44,75.05,0.47,20,0
10144,11,6,661.7,110.28,0.34,18,1
10145,2,6,167.16,27.86,0.19,20,1
10146,29,6,426.44,71.07,0.15,13,1
10147,21,3,322.03,107.34,0.34,11,0
10148,2,4,232.21,58.05,0.36,13,0
10149,10,5,328.05,65.61,0.09,20,1
10150,72,10,223.98,22.4,0.37,18,0
10151,9,1,44.21,44.21,0.45,8,1
10152,5,6,294.44,49.07,0.08,20,1
10153,21,6,685.43,114.24,0.42,17,1
10154,128,6,268.08,44.68,0.46,15,0
10155,9,6,380.35,63.39,0.2,8,0
10156,34,5,427.43,85.49,0.64,12,0
10157,44,10,320.29,32.03,0.15,9,1
10158,9,7,462.54,66.08,0.21,13,1
10159,40,3,277.64,92.55,0.16,16,0
10160,14,7,742.14,106.02,0.59,12,1
10161,31,7,565.3,80.76,0.23,11,0
10162,31,7,596.75,85.25,0.21,21,1
10163,24,6,169.56,28.26,0.13,9,1
10164,3,3,342.92,114.31,0.54,19,0
10165,55,6,173.52,28.92,0.16,10,0
10166,12,4,385.36,96.34,0.17,13,1
10167,7,4,171.22,42.8,0.05,15,1
10168,2,4,452.11,113.03,0.16,21,1
10169,27,7,634.17,90.6,0.08,15,1
10170,34,7,659.05,94.15,0.25,12,1
10171,1,5,190.01,38.0,0.4,12,1
10172,22,6,369.12,61.52,0.19,17,0
10173,8,6,479.22,79.87,0.21,21,0
10174,32,8,766.78,95.85,0.11,20,0
10175,6,6,155.49,25.92,0.59,10,1
10176,36,4,464.19,116.05,0.53,14,0
10177,15,5,542.37,108.47,0.41,20,1
10178,83,8,347.09,43.39,0.39,13,0
10179,5,6,608.34,101.39,0.11,8,1
10180,13,8,555.39,69.42,0.35,11,1
10181,4,9,571.41,63.49,0.33,13,1
10182,78,8,384.12,48.02,0.36,18,0
10183,63,6,456.01,76.0,0.05,13,0
10184,9,9,824.75,91.64,0.16,18,1
10185,33,5,290.74,58.15,0.11,21,1
10186,51,7,567.48,81.07,0.16,19,0
10187,25,9,795.85,88.43,0.19,19,1
10188,23,7,627.67,89.67,0.28,10,1
10189,9,4,81.83,20.46,0.35,13,0
10190,3,9,947.46,105.27,0.52,19,1
10191,69,5,315.58,63.12,0.14,17,0
10192,70,8,340.43,42.55,0.4,13,0
10193,31,3,121.16,40.39,0.27,19,0
10194,13,11,722.88,65.72,0.05,16,1
10195,13,7,756.82,108.12,0.3,16,1
10196,39,5,273.63,54.73,0.5,9,0
10197,69,6,562.33,93.72,0.49,11,0
10198,66,7,176.16,25.17,0.22,16,0
10199,46,5,324.93,64.99,0.25,21,0
10200,31,6,714.76,119.13,0.4,20,1
10201,3,7,671.27,95.9,0.36,11,1
10202,6,4,148.42,37.1,0.3,15,1
10203,69,8,541.21,67.65,0.19,17,0
10204,28,8,316.24,39.53,0.45,19,0
10205,1,9,522.04,58.0,0.18,10,1
10206,4,5,484.54,96.91,0.44,10,1
10207,33,8,767.83,95.98,0.11,16,1
10208,1,4,155.8,38.95,0.38,18,1
10209,6,5,559.17,111.83,0.11,17,1
10210,24,5,386.1,77.22,0.43,15,0
10211,36,1,54.89,54.89,0.53,8,0
10212,32,2,135.41,67.7,0.27,17,0
10213,8,2,157.06,78.53,0.37,21,1
10214,38,8,590.31,73.79,0.5,9,1
10215,9,6,396.44,66.07,0.47,10,1
10216,12,6,408.11,68.02,0.16,21,1
10217,42,9,301.71,33.52,0.22,18,1
10218,32,4,401.35,100.34,0.56,9,1
10219,57,6,431.31,71.89,0.26,10,0
10220,33,4,115.05,28.76,0.37,15,0
10221,26,6,572.68,95.45,0.2,18,1
10222,3,2,225.81,112.9,0.28,18,0
10223,14,8,915.74,114.47,0.58,19,1
10224,10,3,161.24,53.75,0.22,21,0
10225,9,5,146.15,29.23,0.27,13,1
10226,109,7,486.02,69.43,0.24,21,0
10227,15,8,214.59,26.82,0.45,14,1
10228,67,10,1130.69,113.07,0.34,17,1
10229,30,5,171.38,34.28,0.19,20,1
10230,48,2,83.08,41.54,0.07,17,0
10231,21,5,288.48,57.7,0.29,13,1
10232,26,7,386.63,55.23,0.42,8,1
10233,21,4,393.76,98.44,0.25,18,1
10234,7,5,314.57,62.91,0.37,10,1
10235,39,3,98.79,32.93,0.27,20,0
10236,10,7,301.4,43.06,0.4,8,1
10237,1,9,616.11,68.46,0.46,19,1
10238,32,8,243.86,30.48,0.05,17,0
10239,6,3,237.67,79.22,0.22,19,1
10240,85,7,520.82,74.4,0.23,16,0
10241,93,10,900.44,90.04,0.26,20,0
10242,74,4,453.84,113.46,0.14,16,0
10243,14,9,997.08,110.79,0.33,12,1
10244,1,8,914.7,114.34,0.17,11,1
10245,80,7,284.87,40.7,0.28,19,0
10246,17,11,316.96,28.81,0.25,16,1
10247,103,6,280.43,46.74,0.12,16,0
10248,100,6,653.9,108.98,0.21,10,0
10249,58,6,702.39,117.06,0.4,12,1
10250,11,6,631.37,105.23,0.18,10,1
10251,15,5,132.76,26.55,0.34,17,1
10252,58,11,1259.28,114.48,0.28,9,1
10253,12,4,237.81,59.45,0.05,8,1
10254,6,3,47.93,15.98,0.06,19,0
10255,25,7,430.16,61.45,0.11,17,1
10256,83,5,99.19,19.84,0.1,9,0
10257,36,5,360.54,72.11,0.74,15,0
10258,26,9,454.93,50.55,0.38,18,0
10259,4,6,388.26,64.71,0.23,15,1
10260,29,5,396.91,79.38,0.24,10,1
10261,139,8,849.79,106.22,0.2,14,0
10262,5,5,422.5,84.5,0.42,14,1
10263,22,3,181.73,60.58,0.19,9,1
10264,63,3,303.12,101.04,0.24,16,0
10265,41,4,440.34,110.08,0.4,10,0
10266,36,4,110.3,27.58,0.22,9,0
10267,37,9,637.68,70.85,0.08,19,1
10268,14,7,314.12,44.87,0.55,10,1
10269,11,1,19.94,19.94,0.3,9,0
10270,50,9,766.78,85.2,0.39,15,0
10271,50,6,633.55,105.59,0.38,12,0
10272,61,5,160.52,32.1,0.43,10,0
10273,74,6,601.82,100.3,0.12,12,0
10274,22,8,836.85,104.61,0.09,18,0
10275,21,7,777.04,111.01,0.55,18,1
10276,49,4,171.42,42.86,0.32,15,1
10277,32,5,549.58,109.92,0.05,14,1
10278,37,3,146.01,48.67,0.32,13,0
10279,48,5,364.98,73.0,0.11,21,0
10280,67,2,40.61,20.3,0.17,20,0
10281,13,10,196.08,19.61,0.28,8,1
10282,15,4,362.56,90.64,0.18,17,1
10283,3,2,123.34,61.67,0.55,8,1
10284,26,6,251.46,41.91,0.08,8,0
10285,2,5,174.97,34.99,0.37,21,1
10286,19,7,597.42,85.35,0.27,17,1
10287,24,6,90.25,15.04,0.11,21,1
10288,11,9,896.57,99.62,0.45,15,1
10289,27,6,139.93,23.32,0.31,15,0
10290,1,8,280.85,35.11,0.07,21,1
10291,2,5,277.77,55.55,0.38,14,1
10292,52,2,131.82,65.91,0.18,13,0
10293,14,6,313.65,52.28,0.54,11,0
10294,5,5,243.37,48.67,0.41,8,0
10295,23,4,464.84,116.21,0.3,16,0
10296,45,3,247.1,82.37,0.27,8,0
10297,8,13,226.99,17.46,0.54,11,1
10298,30,6,361.01,60.17,0.22,10,1
10299,3,11,1175.64,106.88,0.05,14,1
10300,2,7,326.57,46.65,0.3,12,1
10301,23,2,49.86,24.93,0.36,12,0
10302,24,7,662.41,94.63,0.17,11,1
10303,31,3,235.89,78.63,0.21,8,0
10304,39,5,374.41,74.88,0.27,12,1
10305,112,6,123.75,20.62,0.05,11,0
10306,22,9,267.77,29.75,0.48,21,0
10307,12,5,401.84,80.37,0.27,17,0
10308,48,3,110.46,36.82,0.62,20,0
10309,10,2,135.85,67.92,0.47,15,1
10310,18,9,649.91,72.21,0.25,9,1
10311,3,9,402.91,44.77,0.14,15,1
10312,1,5,572.92,114.58,0.34,8,1
10313,99,2,206.92,103.46,0.46,20,0
10314,55,10,908.49,90.85,0.11,11,1
10315,36,5,115.95,23.19,0.1,10,0
10316,16,3,78.43,26.14,0.5,12,0
10317,6,5,333.71,66.74,0.35,20,1
10318,6,4,127.5,31.88,0.31,12,1
10319,9,9,1059.46,117.72,0.23,12,1
10320,24,10,316.45,31.64,0.46,19,0
10321,38,5,330.92,66.18,0.16,11,0
10322,33,5,266.16,53.23,0.15,15,1
10323,10,6,492.81,82.14,0.13,10,1
10324,93,12,342.59,28.55,0.15,19,0
10325,41,9,541.65,60.18,0.23,11,1
10326,25,7,306.91,43.84,0.79,8,0
10327,29,3,324.64,108.21,0.32,14,0
10328,17,9,173.35,19.26,0.37,8,0
10329,9,8,887.53,110.94,0.14,9,1
10330,14,7,717.25,102.46,0.36,18,1
10331,43,6,277.47,46.24,0.24,14,1
10332,1,4,391.5,97.88,0.2,8,1
10333,4,6,109.66,18.28,0.51,18,0
10334,2,4,466.08,116.52,0.42,10,0
10335,2,4,281.17,70.29,0.18,20,1
10336,59,8,374.76,46.84,0.34,13,0
10337,37,5,265.36,53.07,0.56,13,0
10338,20,5,109.86,21.97,0.62,13,1
10339,4,7,832.17,118.88,0.33,18,1
10340,21,7,133.88,19.13,0.47,20,1
10341,20,4,335.06,83.76,0.39,9,1
10342,6,5,307.44,61.49,0.28,9,0
10343,18,7,802.45,114.64,0.18,13,1
10344,16,7,285.81,40.83,0.36,17,1
10345,29,7,496.08,70.87,0.26,12,1
10346,31,7,459.53,65.65,0.37,21,0
10347,2,4,355.2,88.8,0.17,14,1
10348,15,6,132.85,22.14,0.37,14,0
10349,30,3,106.04,35.35,0.16,12,0
10350,21,6,225.18,37.53,0.12,15,0
10351,59,4,370.02,92.5,0.54,17,0
10352,33,4,139.44,34.86,0.33,13,0
10353,6,6,451.3,75.22,0.12,12,1
10354,3,12,451.21,37.6,0.28,11,1
10355,31,8,843.76,105.47,0.32,14,1
